X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,material_consumption
0.0,0.0,0.5,-0.150799,1.0,0.0,0.231328,-0.823888,0.8,-0.7,4.96
0.0,0.0,0.5,-0.233554,1.0,0.0,0.121249,-0.581451,0.8,-0.7,4.55
0.0,0.0,0.5,-0.019794,1.0,0.0,0.0498,-0.481008,0.8,-0.7,4.766
0.0,0.0,0.5,0.162962,1.0,0.0,0.295514,-0.880906,0.8,-0.7,5.68
0.0,0.0,0.5,0.094511,1.0,0.0,0.032701,-0.663706,0.8,-0.7,5.348999999999999
0.0,0.0,0.5,-0.04033,1.0,0.0,0.092004,-0.891653,0.8,-0.7,5.47
0.0,0.0,0.5,-0.08755,1.0,0.0,0.240642,-0.849882,0.8,-0.7,5.104
0.0,0.0,0.5,0.266317,1.0,0.0,0.133664,-0.431661,0.8,-0.7,5.254
0.0,0.0,0.5,-0.23924,1.0,0.0,0.067495,-0.79078,0.8,-0.7,5.024
0.0,0.0,0.5,0.085473,1.0,0.0,0.003362,-0.772025,0.8,-0.7,5.597
0.0,0.0,0.5,-0.282818,1.0,0.0,0.22961,-0.698741,0.8,-0.7,4.56
0.0,0.0,0.5,-0.151183,1.0,0.0,0.008623,-0.514325,0.8,-0.7,4.715999999999999
0.0,0.0,0.5,-0.107934,1.0,0.0,0.002268,-0.582993,0.8,-0.7,4.885
0.0,0.0,0.5,0.29386,1.0,0.0,0.153007,-0.981833,0.8,-0.7,6.468
0.0,0.0,0.5,0.109274,1.0,0.0,0.114628,-0.95076,0.8,-0.7,5.906
0.0,0.0,0.5,0.092933,1.0,0.0,0.083823,-0.457642,0.8,-0.7,4.899
0.0,0.0,0.5,-0.130362,1.0,0.0,0.210926,-0.925932,0.8,-0.7,5.255
0.0,0.0,0.5,0.069208,1.0,0.0,0.070604,-0.486793,0.8,-0.7,4.913
0.0,0.0,0.5,0.122551,1.0,0.0,0.219397,-0.544965,0.8,-0.7,4.944
0.0,0.0,0.5,0.121078,1.0,0.0,0.0267,-0.714276,0.8,-0.7,5.524
0.0,0.0,0.5,0.269867,1.0,0.0,0.024795,-0.870688,0.8,-0.7,6.286
0.0,0.0,0.5,-0.243967,1.0,0.0,0.101618,-0.649563,0.8,-0.7,4.69
0.0,0.0,0.5,-0.203456,1.0,0.0,0.098974,-0.70065,0.8,-0.7,4.824
0.0,0.0,0.5,-0.070817,1.0,0.0,0.219395,-0.951602,0.8,-0.7,5.404
0.0,0.0,0.5,0.178769,1.0,0.0,0.268786,-0.403625,0.8,-0.7,4.827
0.0,0.0,0.5,-0.19832,1.0,0.0,0.243795,-0.7265,0.8,-0.7,4.675000000000001
0.0,0.0,0.5,0.17627,1.0,0.0,0.196065,-0.692012,0.8,-0.7,5.392
0.0,0.0,0.5,-0.115663,1.0,0.0,0.278051,-0.672134,0.8,-0.7,4.634
0.0,0.0,0.5,0.193817,1.0,0.0,0.029772,-0.774727,0.8,-0.7,5.839
0.0,0.0,0.5,0.231882,1.0,0.0,0.207549,-0.701687,0.8,-0.7,5.558999999999999
0.0,0.0,0.5,0.033781,1.0,0.0,0.277644,-0.823205,0.8,-0.7,5.235
0.0,0.0,0.5,0.13004,1.0,0.0,0.294042,-0.853871,0.8,-0.7,5.526
0.0,0.0,0.5,0.119577,1.0,0.0,0.030426,-0.697874,0.8,-0.7,5.481
0.0,0.0,0.5,-0.291831,1.0,0.0,0.011606,-0.961747,0.8,-0.7,5.453
0.0,0.0,0.5,0.295126,1.0,0.0,0.102316,-0.58586,0.8,-0.7,5.652
0.0,0.0,0.5,0.183781,1.0,0.0,0.254892,-0.464213,0.8,-0.7,4.941
0.0,0.0,0.5,0.215246,1.0,0.0,0.206128,-0.690735,0.8,-0.7,5.489
0.0,0.0,0.5,-0.262498,1.0,0.0,0.223201,-0.744699,0.8,-0.7,4.675999999999999
0.0,0.0,0.5,0.008636,1.0,0.0,0.205694,-0.485861,0.8,-0.7,4.603000000000001
0.0,0.0,0.5,0.015155,1.0,0.0,0.027918,-0.603481,0.8,-0.7,5.073
0.0,0.0,0.5,-0.136305,1.0,0.0,0.012156,-0.51507,0.8,-0.7,4.726
0.0,0.0,0.5,0.296278,1.0,0.0,0.081486,-0.670334,0.8,-0.7,5.8500000000000005
0.0,0.0,0.5,0.114663,1.0,0.0,0.078975,-0.498761,0.8,-0.7,5.024
0.0,0.0,0.5,-0.068031,1.0,0.0,0.149934,-0.632234,0.8,-0.7,4.79
