1,2,3,4,5,6,7,8,9,10,11,steel comsumption,max_disp,strain energy,image_path
10.0,0.404,0.529,1.3,0.287,0.483,0.608,0.399,0.708,0.532,4.0,5600,32.4029433867,5.71427233157,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_26.jpg
10.0,0.404,0.529,1.3,0.287,0.483,0.608,0.399,0.708,0.532,4.0,5600,32.4029433867,5.71427233157,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_27.jpg
10.0,0.404,0.529,1.3,0.287,0.483,0.608,0.399,0.708,0.532,4.0,5600,32.4029433867,5.71427233159,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_28.jpg
12.0,0.404163,0.165999,9.85047,0.109005,0.30668,0.80214,0.445547,0.224983,0.011207,8.0,5600,13.2743745100,1.49058363139,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_29.jpg
11.0,0.817325,0.768023,5.58161,0.206033,0.558885,0.906027,0.442178,0.97755,0.273704,3.0,5600,48.5350698915,8.88535718838,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_30.jpg
5.0,0.110744,0.467011,7.71604,0.657519,0.432783,0.354084,0.943862,0.101266,0.642456,0.0,5600,0.545473569485,0.0593826121789,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_31.jpg
12.0,0.404163,0.165999,9.85047,0.109005,0.30668,0.80214,0.445547,0.224983,0.011207,8.0,5600,13.2743745100,1.49058363139,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_32.jpg
5.0,0.697581,0.864987,1.9849,0.56049,0.180578,0.250197,0.947231,0.3487,0.379958,5.0,5600,5.92248550344,0.950893686917,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_33.jpg
12.0,0.991,0.563975,4.11933,0.011976,0.054476,0.698254,0.448915,0.472417,0.748709,2.0,5600,64.0135950769,11.6022005794,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_34.jpg
13.0,0.577837,0.961951,8.38819,0.914948,0.802272,0.594367,0.452284,0.71985,0.486211,7.0,5600,17.8385186171,2.12232599549,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_35.jpg
6.0,0.871256,0.660939,0.52262,0.366433,0.676169,0.042424,0.953969,0.843567,0.854962,4.0,5600,12.9010190415,2.26865642612,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_36.jpg
13.0,0.164674,0.359927,2.65705,0.817919,0.550067,0.490481,0.455653,0.967283,0.223713,2.0,5600,64.8727157564,11.7776532247,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_37.jpg
7.0,0.458093,0.058915,4.79148,0.269405,0.423965,0.938537,0.957337,0.091,0.592464,10.0,5600,4.44247434935,0.488433072512,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_38.jpg
14.0,0.751512,0.757903,6.9259,0.720891,0.297863,0.386594,0.459022,0.214717,0.961215,7.0,5600,19.4719343142,2.23008024249,D:\Dropbox\HKU_202526S1_ARCH7378\Scripts\D_Project\PatternMorph\save_folder\screenshot_39.jpg
